,ep_team_name,nhl_team_name,roster_team_x,roster_team_y
737,MAC Újbuda,,,
738,ZSC Lions,,,
739,HC Zlín,,,
742,Rapperswil-Jona Lakers,,,
743,Brooklyn Tigers,,,
744,Dayton Gems,,,
745,Flint Firebirds,,,
754,Sokil Kyiv,,,
757,Lincoln Stars,,,
758,Mariestad BoIS J18,,,
759,Markham Majors U18 AAA,,,
762,South Shore Kings 14U AAA,,,
765,Indiana Ice,,,
769,Northern Michigan Univ.,,,
770,HC Pardubice,,,
772,Karlskrona HK J18,,,
781,Flint Generals,,,
784,Vasas Budapest Stars,,,
788,KLH Chomutov,,,
790,BK Nová Paka,,,
791,Rostock Piranhas,,,
795,Ottawa 67's,,,
798,Kitchener Rangers,,,
801,Kelowna Rockets,,,
802,San Antonio Rampage,,,
807,HC Lev Praha,,,
809,HSC Csíkszereda,,,
811,HC Pustertal,,,
815,SKLH Žďár nad Sázavou,,,
816,Calgary Bronks U15 AAA,,,
819,South Carolina Stingrays,,,
820,Evansville Thunderbolts,,,
824,Allen Americans,,,
826,HC 19 Humenné,,,
829,Curry College,,,
830,HC Samson České Budějovice,,,
832,Lethbridge Hurricanes,,,
833,Utica Comets,,,
834,Austin Bruins,,,
837,Saskatoon Blades,,,
843,HK VMF St. Petersburg,,,
849,Macon Mayhem,,,
850,New Jersey Rockets 16U AAA,,,
853,Welland Tigers U16 AAA,,,
854,Delta Hockey Academy U15 Prep,,,
855,Hvidovre Ligahockey,,,
856,Evansville IceMen,,,
860,MHK Spartak Moskva,,,
861,HC Motor České Budějovice,,,
863,Hartford Wolf Pack,,,
864,SK Lejon,,,
868,East Coast Wizards,,,
870,Chicago Express,,,
871,Univ. of Alabama-Huntsville,,,
872,Utah Hockey Club,,,
874,Fairbanks Ice Dogs,,,
875,Gävle GIK,,,
881,Rio Grande Valley Killer Bees,,,
885,Chiavenna,,,
886,SC Rapperswil-Jona Lakers,,,
888,Académie St-Louis Prep,,,
891,Trenton Titans,,,
894,HC Mountfield U20,,,
898,VIK Västerås HK J20,,,
901,Guildford Phoenix,,,
902,North Iowa Bulls,,,
903,Worcester Sharks,,,
906,Saguenay Marquis,,,
