,ep_team_name,nhl_team_name,roster_team_x,roster_team_y
319,Gander Flyers,,,Gander Flyers
320,Detroit Red Wings,,,Detroit Red Wings
321,HC Slovan Bratislava,,,HC Slovan Bratislava
322,Fischtown Pinguins,,,Fischtown Pinguins
323,Indy Fuel,,,
324,Lethbridge Hurricanes,,,
325,Åsele IK,,,Åsele IK
326,HK 96 Nitra,,,
327,DVTK Jegesmedvék,,,DVTK Jegesmedvék
328,Eastlink Cee Bee Stars,,,Eastlink Cee Bee Stars
329,Plymouth Whalers,,,
330,CSM Corona Brasov,,,CSM Corona Brasov
331,Angers,,,Angers
332,Vityaz Chekhov,,,
333,Oshawa Generals,,,
334,Abbotsford Canucks,,,
335,HC Motor České Budějovice,,,
336,EV Füssen,,,
337,Princeton Univ.,,,Princeton Univ.
338,Estevan Bruins U15 AA,,,Estevan Bruins U15 AA
339,EC-KAC,,,EC-KAC
340,Ässät U20,,,Ässät U20
341,Moncton Wildcats,,,
342,Sacred Heart Univ.,,,Sacred Heart Univ.
343,Torpedo Ust-Kamenogorsk,,,Torpedo Ust-Kamenogorsk
344,Chicago Express,,,
345,Prince George Cougars,,,
346,Saale Bulls Halle,,,
347,Vasas Budapest Stars,,,
348,Wenatchee Wild,,,Wenatchee Wild
349,Lacombe Generals,,,Lacombe Generals
350,Bars Kazan,,,Bars Kazan
351,Malmö Redhawks J18,,,Malmö Redhawks J18
352,Muskegon Lumberjacks,,,
353,Lada Togliatti,,,Lada Togliatti
354,London Jr. Knights Gold U16 AAA,,,
355,Hamilton Steel U16 AAA,,,
356,Falu IF U16,,,Falu IF U16
357,Herlev Eagles,,,
358,Penticton Vees Senior AAA,,,
359,Herlev Hornets,,,
360,Univ. of Maine,,,Univ. of Maine
361,Wetaskiwin Longhorns,,,Wetaskiwin Longhorns
362,Romford Raiders,,,
363,Kärpät,,,Kärpät
364,Brampton Battalion,,,
365,GCK Lions U20,,,
366,Kiekko-Espoo,,,Kiekko-Espoo
367,Yale Univ.,,,Yale Univ.
368,HC Nove Zamky,,,HC Nove Zamky
369,Växjö Lakers HC,,,Växjö Lakers HC
370,Vegas Golden Knights,,,Vegas Golden Knights
371,Ferris State Univ.,,,Ferris State Univ.
372,Windsor Spitfires,,,Windsor Spitfires
373,Montréal Juniors,,,
374,IPK,,,IPK
375,IFK Täby HC J18,,,IFK Täby HC J18
376,UMass,,,UMass
377,Drummondville Voltigeurs,,,
378,Black Wings Linz,,,Black Wings Linz
379,HYS The Hague,,,
380,Fort Wayne Komets,,,Fort Wayne Komets
381,Cedar Rapids RoughRiders,,,
382,New York Islanders,,,New York Islanders
383,Shakhter Soligorsk,,,Shakhter Soligorsk
384,SK Horácká Slavia Třebíč,,,
385,Aurora Tigers,,,Aurora Tigers
386,Pelicans,,,Pelicans
387,Tri-City Americans,,,
388,Cardiff Devils,,,Cardiff Devils
389,Stouffville Spirit,,,Stouffville Spirit
390,The Hill Academy U16 Prep,,,The Hill Academy U16 Prep
391,Belfast Giants,,,Belfast Giants
392,Minnetonka High,,,Minnetonka High
393,Tucson Roadrunners,,,Tucson Roadrunners
394,Yellowhead Chiefs U18 AAA,,,
395,Luleå HF J20,,,Luleå HF J20
396,Connecticut Yankees,,,Connecticut Yankees
397,Madison Capitols,,,
398,Tyringe SoSS,,,Tyringe SoSS
399,Prince Albert Mintos U18 AAA,,,Prince Albert Mintos U18 AAA
400,Zemgale,,,Zemgale
401,Michigan State Univ.,,,Michigan State Univ.
402,Tsen Tou Jilin,,,Tsen Tou Jilin
403,David Servis Ceske Budejovice,,,David Servis Ceske Budejovice
404,HC Pardubice,,,
405,Edmonton Oilers,,,Edmonton Oilers
406,Mississauga Senators U16 AAA,,,
407,Bilyy Bars Bila Tserkva,,,Bilyy Bars Bila Tserkva
408,Niagara Falls Canucks U18 AAA,,,
409,Sunne IK J18,,,Sunne IK J18
410,Toros Neftekamsk,,,Toros Neftekamsk
411,Cape Breton Eagles,,,
412,Charlotte Checkers,,,
413,Cleveland Monsters,,,
414,Don Mills Flyers U18 AAA,,,
415,Univ. of Wisconsin,,,Univ. of Wisconsin
416,Académie St-Louis Prep,,,
417,Genève-Servette U20,,,
418,Kuban Krasnodar,,,
419,Denver Cutthroats,,,
